Date,AirCraft_Type,AirCraft_Regn,AirCraft_FltNo,From,To,Total_Payload_kg,Distance_Flown_km,Hours_Flown
1/1/2021,C208,5Y-ESU,MAF 1,JUBA,TONJ,834,419,1.6
1/1/2021,C208,5Y-ESU,MAF 1,TONJ,JUBA,878,419,1.6
1/3/2021,C208,5Y-ESU,MAF 1,JUBA,KAPOETA,1019,220,0.9
1/3/2021,C208,5Y-ESU,MAF 1,KAPOETA,JUBA,1163,220,0.9
1/3/2021,C208,5Y-ESU,MAF 1,JUBA,KAPOETA,987,220,0.9
1/3/2021,C208,5Y-ESU,MAF 1,KAPOETA,CHUKUDUM,1082,65,0.3
1/3/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,TORIT,802,104,0.5
1/3/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1206,120,0.5
1/10/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,927,120,0.5
1/10/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,1002,119,0.5
1/10/2021,C208,5Y-ESU,MAF 1,KAPOETA,LOKICHOGGIO,1084,106,0.5
1/10/2021,C208,5Y-ESU,MAF 1,LOKICHOGGIO,KAPOETA,1084,106,0.5
1/10/2021,C208,5Y-ESU,MAF 1,KAPOETA,TORIT,1148,119,0.5
1/10/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1220,120,0.6
1/11/2021,C208,5Y-ESU,MAF 1,JUBA,KAJO KEJI,1116,113,0.5
1/11/2021,C208,5Y-ESU,MAF 1,KAJO KEJI,JUBA,917,113,0.5
1/13/2021,C208,5Y-ESU,MAF 1,JUBA,CHUKUDUM,978,222,0.9
1/13/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,791,65,0.3
1/13/2021,C208,5Y-ESU,MAF 1,KAPOETA,KIMATONG,1175,39,0.3
1/13/2021,C208,5Y-ESU,MAF 1,KIMATONG,TORIT,741,80,0.3
1/13/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1257,120,0.5
1/13/2021,C208,5Y-ESU,MAF 1,JUBA,LOKUTOK,1091,143,0.6
1/13/2021,C208,5Y-ESU,MAF 1,LOKUTOK,OHILANG,737,9,0.1
1/13/2021,C208,5Y-ESU,MAF 1,OHILANG,JUBA,1115,133,0.6
1/14/2021,C208,5Y-ESU,MAF 1,JUBA,MUNDRI,885,148,0.7
1/14/2021,C208,5Y-ESU,MAF 1,MUNDRI,IBBA,894,146,0.6
1/14/2021,C208,5Y-ESU,MAF 1,IBBA,YAMBIO,894,85,0.4
1/14/2021,C208,5Y-ESU,MAF 1,YAMBIO,JUBA,1037,352,1.4
1/15/2021,C208,5Y-ESU,MAF 1,JUBA,TONJ,904,419,1.6
1/15/2021,C208,5Y-ESU,MAF 1,TONJ,WAU,968,91,0.4
1/15/2021,C208,5Y-ESU,MAF 1,WAU,JUBA,998,509,1.9
1/17/2021,C208,5Y-ESU,MAF 1,JUBA,KAJO KEJI,1032,113,0.6
1/17/2021,C208,5Y-ESU,MAF 1,KAJO KEJI,JUBA,826,113,0.6
1/17/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,983,120,0.6
1/17/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,1074,119,0.5
1/17/2021,C208,5Y-ESU,MAF 1,KAPOETA,JUBA,1133,220,1
1/21/2021,C208,5Y-ESU,MAF 1,JUBA,WAU,738,509,1.8
1/21/2021,C208,5Y-ESU,MAF 1,WAU,JUBA,1016,509,1.9
1/22/2021,C208,5Y-ESU,MAF 1,JUBA,RUMBEK,915,304,1.1
1/22/2021,C208,5Y-ESU,MAF 1,RUMBEK,YIROL,1100,98,0.5
1/22/2021,C208,5Y-ESU,MAF 1,YIROL,RUMBEK,1173,98,0.4
1/22/2021,C208,5Y-ESU,MAF 1,RUMBEK,JUBA,1119,304,1.2
1/23/2021,C208,5Y-ESU,MAF 1,JUBA,TONJ,1034,419,1.6
1/23/2021,C208,5Y-ESU,MAF 1,TONJ,RUMBEK,1091,120,0.5
1/23/2021,C208,5Y-ESU,MAF 1,RUMBEK,YIROL,1018,98,0.5
1/23/2021,C208,5Y-ESU,MAF 1,YIROL,JUBA,1216,222,1
1/24/2021,C208,5Y-ESU,MAF 1,JUBA,KURON,734,337,1.3
1/24/2021,C208,5Y-ESU,MAF 1,KURON,CHUKUDUM,939,204,0.9
1/24/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,754,65,0.3
1/24/2021,C208,5Y-ESU,MAF 1,KAPOETA,KIMATONG,1130,39,0.3
1/24/2021,C208,5Y-ESU,MAF 1,KIMATONG,TORIT,710,80,0.4
