"Date","AirCraft_Type","AirCraft_Regn","AirCraft_FltNo","From","To","Total_Payload_kg","Distance_Flown_km","Hours_Flown","Fuel_Burn_kg_Payload","Fuel_Burn_kg_Time"
"1/1/2021","C208","5Y-ESU","MAF 1","JUBA","TONJ",834,419,1.6,139.7784,352
"1/1/2021","C208","5Y-ESU","MAF 1","TONJ","JUBA",878,419,1.6,147.1528,352
"1/3/2021","C208","5Y-ESU","MAF 1","JUBA","KAPOETA",1019,220,0.9,89.672,198
"1/3/2021","C208","5Y-ESU","MAF 1","KAPOETA","JUBA",1163,220,0.9,102.344,198
"1/3/2021","C208","5Y-ESU","MAF 1","JUBA","KAPOETA",987,220,0.9,86.856,198
"1/3/2021","C208","5Y-ESU","MAF 1","KAPOETA","CHUKUDUM",1082,65,0.3,28.132,66
"1/3/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","TORIT",802,104,0.5,33.3632,110
"1/3/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1206,120,0.5,57.888,110
"1/10/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",927,120,0.5,44.496,110
"1/10/2021","C208","5Y-ESU","MAF 1","TORIT","KAPOETA",1002,119,0.5,47.6952,110
"1/10/2021","C208","5Y-ESU","MAF 1","KAPOETA","LOKICHOGGIO",1084,106,0.5,45.9616,110
"1/10/2021","C208","5Y-ESU","MAF 1","LOKICHOGGIO","KAPOETA",1084,106,0.5,45.9616,110
"1/10/2021","C208","5Y-ESU","MAF 1","KAPOETA","TORIT",1148,119,0.5,54.6448,110
"1/10/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1220,120,0.6,58.56,132
"1/11/2021","C208","5Y-ESU","MAF 1","JUBA","KAJO KEJI",1116,113,0.5,50.4432,110
"1/11/2021","C208","5Y-ESU","MAF 1","KAJO KEJI","JUBA",917,113,0.5,41.4484,110
"1/13/2021","C208","5Y-ESU","MAF 1","JUBA","CHUKUDUM",978,222,0.9,86.8464,198
"1/13/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KAPOETA",791,65,0.3,20.566,66
"1/13/2021","C208","5Y-ESU","MAF 1","KAPOETA","KIMATONG",1175,39,0.3,18.33,66
"1/13/2021","C208","5Y-ESU","MAF 1","KIMATONG","TORIT",741,80,0.3,23.712,66
"1/13/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1257,120,0.5,60.336,110
"1/13/2021","C208","5Y-ESU","MAF 1","JUBA","LOKUTOK",1091,143,0.6,62.4052,132
"1/13/2021","C208","5Y-ESU","MAF 1","LOKUTOK","OHILANG",737,9,0.1,2.6532,22
"1/13/2021","C208","5Y-ESU","MAF 1","OHILANG","JUBA",1115,133,0.6,59.318,132
"1/14/2021","C208","5Y-ESU","MAF 1","JUBA","MUNDRI",885,148,0.7,52.392,154
"1/14/2021","C208","5Y-ESU","MAF 1","MUNDRI","IBBA",894,146,0.6,52.2096,132
"1/14/2021","C208","5Y-ESU","MAF 1","IBBA","YAMBIO",894,85,0.4,30.396,88
"1/14/2021","C208","5Y-ESU","MAF 1","YAMBIO","JUBA",1037,352,1.4,146.0096,308
"1/15/2021","C208","5Y-ESU","MAF 1","JUBA","TONJ",904,419,1.6,151.5104,352
"1/15/2021","C208","5Y-ESU","MAF 1","TONJ","WAU",968,91,0.4,35.2352,88
"1/15/2021","C208","5Y-ESU","MAF 1","WAU","JUBA",998,509,1.9,203.1928,418
"1/17/2021","C208","5Y-ESU","MAF 1","JUBA","KAJO KEJI",1032,113,0.6,46.6464,132
"1/17/2021","C208","5Y-ESU","MAF 1","KAJO KEJI","JUBA",826,113,0.6,37.3352,132
"1/17/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",983,120,0.6,47.184,132
"1/17/2021","C208","5Y-ESU","MAF 1","TORIT","KAPOETA",1074,119,0.5,51.1224,110
"1/17/2021","C208","5Y-ESU","MAF 1","KAPOETA","JUBA",1133,220,1,99.704,220
"1/21/2021","C208","5Y-ESU","MAF 1","JUBA","WAU",738,509,1.8,150.2568,396
"1/21/2021","C208","5Y-ESU","MAF 1","WAU","JUBA",1016,509,1.9,206.8576,418
"1/22/2021","C208","5Y-ESU","MAF 1","JUBA","RUMBEK",915,304,1.1,111.264,242
"1/22/2021","C208","5Y-ESU","MAF 1","RUMBEK","YIROL",1100,98,0.5,43.12,110
"1/22/2021","C208","5Y-ESU","MAF 1","YIROL","RUMBEK",1173,98,0.4,45.9816,88
"1/22/2021","C208","5Y-ESU","MAF 1","RUMBEK","JUBA",1119,304,1.2,136.0704,264
"1/23/2021","C208","5Y-ESU","MAF 1","JUBA","TONJ",1034,419,1.6,173.2984,352
"1/23/2021","C208","5Y-ESU","MAF 1","TONJ","RUMBEK",1091,120,0.5,52.368,110
"1/23/2021","C208","5Y-ESU","MAF 1","RUMBEK","YIROL",1018,98,0.5,39.9056,110
"1/23/2021","C208","5Y-ESU","MAF 1","YIROL","JUBA",1216,222,1,107.9808,220
"1/24/2021","C208","5Y-ESU","MAF 1","JUBA","KURON",734,337,1.3,98.9432,286
"1/24/2021","C208","5Y-ESU","MAF 1","KURON","CHUKUDUM",939,204,0.9,76.6224,198
"1/24/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KAPOETA",754,65,0.3,19.604,66
"1/24/2021","C208","5Y-ESU","MAF 1","KAPOETA","KIMATONG",1130,39,0.3,17.628,66
"1/24/2021","C208","5Y-ESU","MAF 1","KIMATONG","TORIT",710,80,0.4,22.72,88
"1/24/2021","C208","5Y-ESU","MAF 1","JUBA","JUBA",1234,120,0.6,59.232,132
"2/2/2021","C208","5Y-ESU","MAF 1","JUBA","MUNDRI",1159,148,0.6,68.6128,132
"2/2/2021","C208","5Y-ESU","MAF 1","MUNDRI","JUBA",1178,148,0.6,69.7376,132
"2/2/2021","C208","5Y-ESU","MAF 1","JUBA","MARIDI",921,239,1,88.0476,220
"2/2/2021","C208","5Y-ESU","MAF 1","MARIDI","IBBA",1111,33,0.2,14.6652,44
"2/2/2021","C208","5Y-ESU","MAF 1","IBBA","YAMBIO",953,85,0.4,32.402,88
"2/2/2021","C208","5Y-ESU","MAF 1","YAMBIO","JUBA",1092,352,1.5,153.7536,330
"2/3/2021","C208","5Y-ESU","MAF 1","JUBA","YIROL",1103,222,1,97.9464,220
